id,name,job,department,gender
1721.0,Stephen E. Rivkin,Editor,Editing,0.0
496.0,Rick Carter,Production Design,Art,2.0
900.0,Christopher Boyes,Sound Designer,Sound,0.0
1262.0,Mali Finn,Casting,Production,1.0
1729.0,James Horner,Original Music Composer,Sound,2.0
2710.0,James Cameron,Director,Directing,2.0
7236.0,Andrew Menzies,Art Direction,Art,2.0
6690.0,Jill Brooks,Visual Effects Producer,Visual Effects,0.0
6347.0,Margery Simkin,Casting,Production,1.0
6878.0,Kevin Ishioka,Supervising Art Director,Art,2.0
6883.0,Dick Bernstein,Music Editor,Sound,0.0
8159.0,Shannon Mills,Sound Effects Editor,Sound,0.0
8160.0,Dennie Thorpe,Foley,Sound,0.0
8163.0,Jana Vance,Foley,Sound,0.0
8527.0,Deborah Lynn Scott,Costume Design,Costume & Make-Up,1.0
8529.0,Jon Landau,Producer,Production,2.0
9618.0,Sean Haworth,Art Direction,Art,0.0
12653.0,Kim Sinclair,Set Decoration,Art,1.0
14350.0,Richard F. Mays,Set Designer,Art,2.0
20294.0,Laeta Kalogridis,Executive Producer,Production,1.0
17675.0,Mayes C. Rubeo,Costume Design,Costume & Make-Up,0.0
18265.0,Mauro Fiore,Director of Photography,Camera,2.0
42281.0,Scott Herbertson,Set Designer,Art,0.0
42288.0,Woody Schultz,Stunts,Crew,0.0
29067.0,Linda DeVetta,Makeup Artist,Costume & Make-Up,0.0
33302.0,Richard Bluck,Camera Operator,Camera,2.0
33303.0,Simon Bright,Art Direction,Art,2.0
113145.0,Richard Martin,Visual Effects Supervisor,Visual Effects,0.0
58188.0,Steve R. Moore,Visual Effects Editor,Crew,2.0
58871.0,John Refoua,Editor,Editing,2.0
92359.0,Karl J. Martin,Set Designer,Art,0.0
72201.0,Chiling Lin,Director of Photography,Camera,1.0
89714.0,Ilram Choi,Stunts,Crew,0.0
93214.0,Steven Quale,Visual Effects Supervisor,Visual Effects,2.0
122607.0,Carla Meyer,Dialect Coach,Crew,1.0
132585.0,Nick Bassett,Art Direction,Art,2.0
132596.0,Jill Cormack,Art Direction,Art,0.0
132604.0,Andy McLaren,Art Direction,Art,0.0
236696.0,Terry Notary,Motion Capture Artist,Crew,0.0
956198.0,Garrett Warren,Stunt Coordinator,Crew,2.0
957874.0,Jonathan Rothbart,Visual Effects Supervisor,Visual Effects,2.0
957889.0,Stefan Dechant,Supervising Art Director,Art,0.0
959555.0,Todd Cherniawsky,Supervising Art Director,Art,2.0
1016177.0,Miranda Rivers,Casting,Production,0.0
1032536.0,Robert Stromberg,Production Design,Art,0.0
1071680.0,John Harding,Costume Design,Costume & Make-Up,2.0
1177364.0,Roberto De Angelis,Steadicam Operator,Camera,0.0
1202850.0,Mike Smithson,Makeup Department Head,Costume & Make-Up,2.0
1204668.0,Alain Lalanne,Visual Effects Producer,Visual Effects,0.0
1206410.0,Lucas Salton,Visual Effects Supervisor,Visual Effects,0.0
1234266.0,Janace Tashjian,Post Production Supervisor,Crew,0.0
1271932.0,Stephen Rosenbaum,Visual Effects Supervisor,Visual Effects,0.0
1310064.0,Frankie Karena,Makeup Artist,Costume & Make-Up,0.0
1319844.0,Lisa Lovaas,Costume Supervisor,Costume & Make-Up,1.0
1327028.0,Jonathan Fawkner,Visual Effects Supervisor,Visual Effects,0.0
1330561.0,Robert Bavin,Art Direction,Art,0.0
1330567.0,Anthony Almaraz,Costume Supervisor,Costume & Make-Up,0.0
1330570.0,Carolyn M. Fenton,Costume Supervisor,Costume & Make-Up,0.0
1330574.0,Beth Koenigsberg,Costume Supervisor,Costume & Make-Up,0.0
1336191.0,Sam Page,Set Designer,Art,0.0
1339441.0,Tex Kadonaga,Set Designer,Art,0.0
1352422.0,Kim Foscato,Dialogue Editor,Editing,0.0
1352962.0,Tammy S. Lee,Set Designer,Art,0.0
1357070.0,Denny Caira,Transportation Coordinator,Crew,0.0
1357071.0,James Waitkus,Transportation Coordinator,Crew,0.0
1360103.0,Addison Teague,Supervising Sound Editor,Sound,0.0
1376887.0,C. Scott Baker,Set Designer,Art,2.0
1376888.0,Luke Caska,Set Designer,Art,0.0
1376889.0,David Chow,Set Designer,Art,0.0
1376890.0,Jonathan Dyer,Set Designer,Art,0.0
1376891.0,Joseph Hiura,Set Designer,Art,0.0
1376892.0,Rebecca Jellie,Art Department Coordinator,Art,0.0
1376893.0,Robert Andrew Johnson,Set Designer,Art,0.0
1376895.0,Mike Stassi,Assistant Art Director,Art,0.0
1376897.0,John Villarino,Construction Coordinator,Art,0.0
1376898.0,Jeffrey Wisniewski,Assistant Art Director,Art,2.0
1376899.0,Cheryl Nardi,Dialogue Editor,Editing,0.0
1376901.0,Marshall Winn,Dialogue Editor,Editing,0.0
1376902.0,Gwendolyn Yates Whittle,Supervising Sound Editor,Sound,0.0
1376903.0,William Stein,Sound Re-Recording Mixer,Sound,0.0
1376909.0,Lula Washington,Choreographer,Crew,0.0
1391692.0,Chris Del Conte,Visual Effects Producer,Visual Effects,0.0
1391695.0,R. Christopher White,Visual Effects Supervisor,Visual Effects,2.0
1394070.0,Dan Lemmon,Visual Effects Supervisor,Visual Effects,0.0
1394129.0,Tim Nielsen,Sound Effects Editor,Sound,0.0
1394286.0,Michael Mulholland,CG Supervisor,Crew,0.0
1394750.0,Thomas Nittmann,Visual Effects Editor,Crew,0.0
1394755.0,Edson Williams,Visual Effects Supervisor,Visual Effects,0.0
1394953.0,Christine Carr,Digital Intermediate,Editing,0.0
1395269.0,John Bruno,Visual Effects Supervisor,Visual Effects,0.0
1398970.0,David Emmerichs,Steadicam Operator,Camera,0.0
1400906.0,Christopher Scarabosio,Sound Effects Editor,Sound,0.0
1401784.0,Jennifer Teves,Production Supervisor,Production,0.0
1401785.0,Brigitte Yorke,Production Manager,Production,0.0
1401786.0,Ken Fischer,Sound Effects Editor,Sound,0.0
1401787.0,Iain Hutton,Special Effects Coordinator,Crew,0.0
1401788.0,Steve Ingram,Special Effects Coordinator,Crew,0.0
1401789.0,Joyce Cox,Visual Effects Producer,Visual Effects,0.0
1401790.0,Jenny Foster,Visual Effects Producer,Visual Effects,0.0
1401791.0,Christopher Marino,Visual Effects Editor,Crew,0.0
1401792.0,Jim Milton,Visual Effects Editor,Crew,0.0
1401793.0,Cyndi Ochs,Visual Effects Producer,Visual Effects,0.0
1401794.0,Lucas Putnam,Visual Effects Editor,Crew,0.0
1401795.0,Anthony 'Max' Ivins,Visual Effects Supervisor,Visual Effects,0.0
1401796.0,John Knoll,Visual Effects Supervisor,Visual Effects,0.0
1401799.0,Eric Saindon,Visual Effects Supervisor,Visual Effects,2.0
1401800.0,Wayne Stables,Visual Effects Supervisor,Visual Effects,0.0
1401801.0,David Stinnett,Visual Effects Supervisor,Visual Effects,0.0
1401803.0,Guy Williams,Visual Effects Supervisor,Visual Effects,0.0
1401804.0,Stuart Thorp,Stunt Coordinator,Crew,0.0
1401805.0,Giles Coburn,Best Boy Electric,Lighting,0.0
1401806.0,Mark Fellman,Still Photographer,Camera,2.0
1401807.0,Scott Sprague,Lighting Technician,Lighting,0.0
1401808.0,Jeremy Hollobon,Animation Director,Visual Effects,0.0
1401809.0,Orlando Meunier,Animation Director,Visual Effects,0.0
1401810.0,Taisuke Tanimura,Animation Director,Visual Effects,0.0
1401812.0,Lilia Mishel Acevedo,Set Costumer,Costume & Make-Up,0.0
1401814.0,Alejandro M. Hernandez,Set Costumer,Costume & Make-Up,0.0
1401815.0,Marvin Hall,Digital Intermediate,Editing,0.0
1401816.0,Judy Alley,Publicist,Production,0.0
1418381.0,Mike Perry,CG Supervisor,Crew,0.0
1426854.0,Andrew Morley,CG Supervisor,Crew,0.0
1438901.0,Seth Engstrom,Conceptual Design,Art,0.0
1447362.0,Eric Oliver,Visual Effects Art Director,Crew,0.0
1447503.0,Matsune Suzuki,Modeling,Visual Effects,0.0
1447524.0,Paul Tobin,Art Department Manager,Art,0.0
1452643.0,Roxane Griffin,Hairstylist,Costume & Make-Up,0.0
1453938.0,Arun Ram-Mohan,Lighting Artist,Lighting,0.0
1457305.0,Georgia Lockhart-Adams,Makeup Artist,Costume & Make-Up,0.0
1466035.0,Thrain Shadbolt,CG Supervisor,Crew,0.0
1483220.0,Brad Alexander,CG Supervisor,Crew,0.0
1483221.0,Shadi Almassizadeh,CG Supervisor,Crew,0.0
1483222.0,Simon Clutterbuck,CG Supervisor,Crew,0.0
1483223.0,Graeme Demmocks,CG Supervisor,Crew,0.0
1483224.0,Adrian Fernandes,CG Supervisor,Crew,0.0
1483225.0,Mitch Gates,CG Supervisor,Crew,0.0
1483226.0,Jerry Kung,CG Supervisor,Crew,0.0
1483227.0,Andy Lomas,CG Supervisor,Crew,0.0
1483228.0,Sebastian Marino,CG Supervisor,Crew,0.0
1483229.0,Matthias Menz,CG Supervisor,Crew,0.0
1483230.0,Sergei Nevshupov,CG Supervisor,Crew,0.0
1483231.0,Philippe Rebours,CG Supervisor,Crew,0.0
1483232.0,Michael Takarangi,CG Supervisor,Crew,0.0
1483233.0,David Weitzberg,CG Supervisor,Crew,0.0
1483234.0,Ben White,CG Supervisor,Crew,0.0
1621932.0,Min Windle,Stunts,Crew,1.0
120.0,Dariusz Wolski,Director of Photography,Camera,2.0
1704.0,Gore Verbinski,Director,Directing,2.0
770.0,Jerry Bruckheimer,Producer,Production,2.0
1705.0,Ted Elliott,Screenplay,Writing,2.0
1706.0,Terry Rossio,Screenplay,Writing,2.0
1722.0,Craig Wood,Editor,Editing,2.0
947.0,Hans Zimmer,Original Music Composer,Sound,2.0
2444.0,Mike Stenson,Executive Producer,Production,2.0
2445.0,Eric McLeod,Producer,Production,2.0
2446.0,Chad Oman,Producer,Production,2.0
2447.0,Peter Kohn,Producer,Production,0.0
2448.0,Pat Sandston,Producer,Production,0.0
2215.0,Denise Chamian,Casting,Production,1.0
1226.0,Rick Heinrichs,Production Design,Art,2.0
553.0,John Dexter,Art Direction,Art,2.0
3311.0,Priscilla John,Casting,Production,1.0
4032.0,Cheryl Carasik,Set Decoration,Art,1.0
4033.0,Liz Dann,Costume Design,Costume & Make-Up,0.0
4034.0,Penny Rose,Costume Design,Costume & Make-Up,1.0
5132.0,Bob Badami,Music Supervisor,Sound,2.0
146439.0,James Ward Byrkit,Conceptual Design,Art,2.0
406204.0,Ve Neill,Makeup Department Head,Costume & Make-Up,1.0
1259516.0,John Dixon,Stunts,Crew,2.0
1336716.0,Dottie Starling,CGI Supervisor,Crew,0.0
1344278.0,Pamela Alch,Script Supervisor,Directing,1.0
1368867.0,Allen Hall,Special Effects Coordinator,Crew,0.0
1368884.0,Melissa Muik,Music Editor,Sound,0.0
1395290.0,Sharron Reynolds,Script Supervisor,Directing,1.0
1399327.0,Barbara McDermott,Music Editor,Sound,0.0
1400738.0,Karen Golden,Script Supervisor,Directing,1.0
1534197.0,Katie Greathouse,Music Editor,Sound,0.0
153.0,Thomas Newman,Original Music Composer,Sound,2.0
39.0,Sam Mendes,Director,Directing,2.0
8384.0,Anna Pinnock,Set Decoration,Art,1.0
932.0,John Logan,Screenplay,Writing,2.0
4248.0,Dennis Gassner,Production Design,Art,2.0
9856.0,Ian Fleming,Characters,Writing,2.0
3904.0,Lee Smith,Editor,Editing,0.0
7538.0,Bill Bernstein,Music Editor,Sound,2.0
8784.0,Daniel Craig,Co-Producer,Production,2.0
11227.0,Jany Temime,Costume Design,Costume & Make-Up,1.0
10496.0,Debbie McWilliams,Casting,Production,1.0
10666.0,Barbara Broccoli,Producer,Production,1.0
11268.0,Roberto Malerba,Line Producer,Production,0.0
40827.0,Peter Clarke,Music Editor,Sound,0.0
14764.0,Christopher Assells,Sound Designer,Sound,0.0
14765.0,Per Hallberg,Supervising Sound Editor,Sound,0.0
36108.0,Nicole Schmied,Casting,Production,0.0
10783.0,Robert Wade,Screenplay,Writing,2.0
10782.0,Neal Purvis,Screenplay,Writing,0.0
10876.0,Callum McDougall,Executive Producer,Production,2.0
