id,movieName,releaseDate,budget,revenue,runtime,avg_votes,homepageURL
19995,Avatar,2009-12-10,237000000,2787965087,162.0,7.2,http://www.avatarmovie.com/
285,Pirates of the Caribbean: At World's End,2007-05-19,300000000,961000000,169.0,6.9,http://disney.go.com/disneypictures/pirates/
206647,Spectre,2015-10-26,245000000,880674609,148.0,6.3,http://www.sonypictures.com/movies/spectre/
49026,The Dark Knight Rises,2012-07-16,250000000,1084939099,165.0,7.6,http://www.thedarkknightrises.com/
49529,John Carter,2012-03-07,260000000,284139100,132.0,6.1,http://movies.disney.com/john-carter
559,Spider-Man 3,2007-05-01,258000000,890871626,139.0,5.9,http://www.sonypictures.com/movies/spider-man3/
38757,Tangled,2010-11-24,260000000,591794936,100.0,7.4,http://disney.go.com/disneypictures/tangled/
99861,Avengers: Age of Ultron,2015-04-22,280000000,1405403694,141.0,7.3,http://marvel.com/movies/movie/193/avengers_age_of_ultron
767,Harry Potter and the Half-Blood Prince,2009-07-07,250000000,933959197,153.0,7.4,http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html
209112,Batman v Superman: Dawn of Justice,2016-03-23,250000000,873260194,151.0,5.7,http://www.batmanvsupermandawnofjustice.com/
1452,Superman Returns,2006-06-28,270000000,391081192,154.0,5.4,http://www.superman.com
10764,Quantum of Solace,2008-10-30,200000000,586090727,106.0,6.1,http://www.mgm.com/view/movie/234/Quantum-of-Solace/
58,Pirates of the Caribbean: Dead Man's Chest,2006-06-20,200000000,1065659812,151.0,7.0,http://disney.go.com/disneypictures/pirates/
57201,The Lone Ranger,2013-07-03,255000000,89289910,149.0,5.9,http://disney.go.com/the-lone-ranger/
49521,Man of Steel,2013-06-12,225000000,662845518,143.0,6.5,http://www.manofsteel.com/
2454,The Chronicles of Narnia: Prince Caspian,2008-05-15,225000000,419651413,150.0,6.3,
24428,The Avengers,2012-04-25,220000000,1519557910,143.0,7.4,http://marvel.com/avengers_movie/
1865,Pirates of the Caribbean: On Stranger Tides,2011-05-14,380000000,1045713802,136.0,6.4,http://disney.go.com/pirates/index-on-stranger-tides.html#/video/
41154,Men in Black 3,2012-05-23,225000000,624026776,106.0,6.2,http://www.sonypictures.com/movies/meninblack3/
122917,The Hobbit: The Battle of the Five Armies,2014-12-10,250000000,956019788,144.0,7.1,http://www.thehobbit.com/
1930,The Amazing Spider-Man,2012-06-27,215000000,752215857,136.0,6.5,http://www.theamazingspiderman.com
20662,Robin Hood,2010-05-12,200000000,310669540,140.0,6.2,http://www.robinhoodthemovie.com/
57158,The Hobbit: The Desolation of Smaug,2013-12-11,250000000,958400000,161.0,7.6,http://www.thehobbit.com/
2268,The Golden Compass,2007-12-04,180000000,372234864,113.0,5.8,http://www.goldencompassmovie.com/index_german.html
254,King Kong,2005-12-14,207000000,550000000,187.0,6.6,
597,Titanic,1997-11-18,200000000,1845034188,194.0,7.5,http://www.titanicmovie.com
271110,Captain America: Civil War,2016-04-27,250000000,1153304495,147.0,7.1,http://marvel.com/captainamericapremiere
44833,Battleship,2012-04-11,209000000,303025485,131.0,5.5,
135397,Jurassic World,2015-06-09,150000000,1513528810,124.0,6.5,http://www.jurassicworld.com/
37724,Skyfall,2012-10-25,200000000,1108561013,143.0,6.9,http://www.skyfall-movie.com
558,Spider-Man 2,2004-06-25,200000000,783766341,127.0,6.7,http://www.sonypictures.com/movies/spider-man2/
68721,Iron Man 3,2013-04-18,200000000,1215439994,130.0,6.8,http://marvel.com/ironman3
12155,Alice in Wonderland,2010-03-03,200000000,1025491110,108.0,6.4,http://disney.go.com/wonderland/
36668,X-Men: The Last Stand,2006-05-24,210000000,459359555,104.0,6.3,
62211,Monsters University,2013-06-20,200000000,743559607,104.0,7.0,
8373,Transformers: Revenge of the Fallen,2009-06-19,150000000,836297228,150.0,6.0,http://www.transformersmovie.com/
91314,Transformers: Age of Extinction,2014-06-25,210000000,1091405097,165.0,5.8,http://www.transformersmovie.com
68728,Oz: The Great and Powerful,2013-03-07,200000000,491868548,130.0,5.7,http://www.ozthegreatandpowerfulmovie.com
102382,The Amazing Spider-Man 2,2014-04-16,200000000,705717432,142.0,6.5,http://www.theamazingspiderman.com
20526,TRON: Legacy,2010-12-10,170000000,400062763,125.0,6.3,http://disney.go.com/tron/
49013,Cars 2,2011-06-11,200000000,559852396,106.0,5.8,http://www.disney.go.com/cars/
44912,Green Lantern,2011-06-16,200000000,219851172,114.0,5.1,http://greenlanternmovie.warnerbros.com/
10193,Toy Story 3,2010-06-16,200000000,1066969703,103.0,7.6,http://disney.go.com/toystory/
534,Terminator Salvation,2009-05-20,200000000,371353001,115.0,5.9,https://www.warnerbros.com/terminator-salvation
168259,Furious 7,2015-04-01,190000000,1506249360,137.0,7.3,http://www.furious7.com/
72190,World War Z,2013-06-20,200000000,531865000,116.0,6.7,http://www.worldwarzmovie.com
127585,X-Men: Days of Future Past,2014-05-15,250000000,747862775,131.0,7.5,http://www.x-menmovies.com/
54138,Star Trek Into Darkness,2013-05-05,190000000,467365246,132.0,7.4,
81005,Jack the Giant Slayer,2013-02-27,195000000,197687603,114.0,5.5,http://jackthegiantkiller.warnerbros.com
64682,The Great Gatsby,2013-05-10,105000000,351040419,143.0,7.3,
9543,Prince of Persia: The Sands of Time,2010-05-19,150000000,335154643,116.0,6.2,http://disney.go.com/disneypictures/princeofpersia
68726,Pacific Rim,2013-07-11,180000000,407602906,131.0,6.7,http://www.pacificrimmovie.com/
38356,Transformers: Dark of the Moon,2011-06-28,195000000,1123746996,154.0,6.1,http://www.transformersmovie.com/
217,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,185000000,786636033,122.0,5.7,http://www.indianajones.com/site/index.html
105864,The Good Dinosaur,2015-11-14,175000000,331926147,93.0,6.6,http://movies.disney.com/the-good-dinosaur
62177,Brave,2012-06-21,185000000,538983207,93.0,6.7,http://disney.go.com/brave/#/home
188927,Star Trek Beyond,2016-07-07,185000000,343471816,122.0,6.6,http://www.startrekmovie.com/
