prodCompanyId,companyName
289.0,Ingenious Film Partners
306.0,Twentieth Century Fox Film Corporation
444.0,Dune Entertainment
574.0,Lightstorm Entertainment
2.0,Walt Disney Pictures
130.0,Jerry Bruckheimer Films
19936.0,Second Mate Productions
5.0,Columbia Pictures
10761.0,Danjaq
69434.0,B24
923.0,Legendary Pictures
6194.0,Warner Bros.
9993.0,DC Entertainment
9996.0,Syncopy
326.0,Laura Ziskin Productions
19551.0,Marvel Enterprises
6125.0,Walt Disney Animation Studios
420.0,Marvel Studios
15357.0,Prime Focus
76043.0,Revolution Sun Studios
7364.0,Heyday Films
429.0,DC Comics
507.0,Atlas Entertainment
9995.0,Cruel & Unusual Films
41624.0,RatPac-Dune Entertainment
9168.0,Bad Hat Harry Productions
7576.0,Eon Productions
2691.0,Infinitum Nihil
37380.0,Silver Bullet Productions (II)
37381.0,Blind Wink Productions
37382.0,Classic Media
78685.0,Cruel and Unusual Films
5888.0,Walt Disney
10221.0,Walden Media
11345.0,Stillking Films
11440.0,Ozumi Films
11441.0,Propeler
11442.0,Silverbell Films
4.0,Paramount Pictures
20478.0,Moving Picture Company (MPC)
56.0,Amblin Entertainment
5627.0,Media Magik Entertainment
6736.0,Imagenation Abu Dhabi FZ
9169.0,Hemisphere Media Capital
11084.0,Parkes/MacDonald Productions
11.0,WingNut Films
12.0,New Line Cinema
174.0,Warner Bros. Pictures
7413.0,3Foot7
8411.0,Metro-Goldwyn-Mayer (MGM)
7505.0,Marvel Entertainment
23.0,Imagine Entertainment
33.0,Universal Pictures
1645.0,Scott Free Productions
7295.0,Relativity Media
1473.0,Depth of Field
1938.0,Scholastic Productions
68.0,Big Primate Pictures
69.0,MFPV Film
264.0,Studio Babelsberg
3036.0,Walt Disney Studios Motion Pictures
84424.0,Vita-Ray Dutch Productions (III)
84425.0,Deluxe Digital Studios
2598.0,Hasbro
13778.0,Bluegrass Films
20153.0,Film 44
13.0,Universal Studios
3341.0,Fuji Television Network
6452.0,Dentsu
598.0,Team Todd
8601.0,Tim Burton Productions
16314.0,Roth Films
20004.0,"Zanuck Company, The"
431.0,Donners' Company
445.0,Major Studio Partners
12247.0,thinkfilm
79028.0,X3 Canada Productions
79029.0,X3US Productions
79030.0,XM3 Service
3.0,Pixar Animation Studios
27.0,DreamWorks SKG
435.0,Di Bonaventura Pictures
2481.0,Platinum Dunes
22826.0,Hasbro Studios
11413.0,China Movie Channel
38833.0,Ian Bryce Productions
31828.0,Avi Arad Productions
53462.0,Matt Tolmach Productions
7161.0,LivePlanet
18713.0,Prana Studios
23791.0,Sean Bailey Productions
76067.0,Kontsept Film Company
2609.0,De Line Pictures
4021.0,The Halcyon Company
4022.0,Wonderland Sound and Vision
333.0,Original Film
7154.0,One Race Films
40890.0,China Film Co.
86352.0,Québec Production Services Tax Credit
86655.0,Media Rights Capital (MRC)
87857.0,Abu Dhabi Film Commission
87858.0,"Colorado Office of Film, Television & Media"
3281.0,GK Films
6277.0,Skydance Productions
11956.0,Apparatus Productions
19108.0,Latina Pictures
23644.0,2DUX²
22213.0,TSG Entertainment
37336.0,Down Productions
11461.0,Bad Robot
12536.0,Kurtzman/Orci
8406.0,Big Kid Pictures
79.0,Village Roadshow Pictures
240.0,Bazmark Films
11858.0,A&E Television Networks
14440.0,Red Wagon Entertainment
14604.0,Spectrum Films
19750.0,Disney Double Dare You (DDY)
19751.0,Indochina Productions
1.0,Lucasfilm
34530.0,Perfect Storm Entertainment
69484.0,Alibaba Pictures Group
82819.0,Skydance Media
83644.0,Sneaky Shark
83645.0,Huahua Media
93408.0,FortyFour Studios
347.0,Centropolis Entertainment
1557.0,The Mark Gordon Company
10905.0,Farewell Productions
11395.0,ImageMovers
450.0,Anarchos Productions
552.0,Dark Horse Entertainment
2596.0,Jerry Weintraub Productions
46339.0,Beagle Pug Films
86565.0,Riche Productions
86566.0,Village Roadshow Films North America
78091.0,Kinberg Genre
521.0,DreamWorks Animation
2507.0,"Todman, Simon, LeMasters Productions"
16774.0,Peters Entertainment
57088.0,Sonnenfeld Josephson Worldwide Entertainment
2269.0,China Film Co-Production Corporation
11462.0,Alphaville Films
19643.0,"Sommers Company, The"
158.0,Spyglass Entertainment
159.0,Shady Acres Entertainment
4171.0,Playtone
6687.0,Viz Media
12200.0,Province of British Columbia Production Services Tax Credit
36390.0,3 Arts Entertainment
1073.0,Gordon Company
1302.0,Davis Entertainment
6092.0,Licht/Mueller Film Corporation
7297.0,Fairview Entertainment
290.0,Ingenious Media
7076.0,Chernin Entertainment
7299.0,Corsan
8186.0,Bliss Media
8187.0,Limelight International Media Entertainment
8188.0,Neelmudra Entertainment
76098.0,Aristos Films
76099.0,Singularity Productions
76100.0,Wildkite
2735.0,Mid Atlantic Films
4403.0,Stuber Productions
6292.0,Universal
20851.0,H2F Entertainment
20656.0,Babieka
59778.0,A113
1867.0,Golden Mean
86561.0,Stereo D
829.0,Vertigo Entertainment
20154.0,Mad Hatter Entertainment
763.0,Intermedia Films
7340.0,C-2 Pictures
19116.0,IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG
23636.0,Mostow/Lieberman Productions
54850.0,Bulletproof Cupid
13769.0,Lynda Obst Productions
5896.0,Cine Bazar
49301.0,Toho Pictures
26281.0,Ardustry Entertainment
26282.0,Mediastream Film GmbH & Co. Productions KG
7383.0,"Kennedy/Marshall Company, The"
6332.0,Dune Entertainment III
10893.0,Big Screen Productions
1632.0,Lionsgate
5420.0,Color Force
831.0,Saturn Films
8000.0,Broken Road Productions
19097.0,Junction Entertainment
449.0,Virtual Studios
1633.0,Next Entertainment
14024.0,Irwin Allen Productions
18990.0,Radiant Productions
19943.0,Synthesis Entertainment
37455.0,Legend3D
16028.0,Blizzard Entertainment
13184.0,Annapurna Pictures
711.0,Fox 2000 Pictures
9195.0,Touchstone Pictures
20011.0,SprocketHeads
591.0,France 3 Cinéma
866.0,Pathé Renn Productions
4588.0,Egmond Film & Television
10926.0,Pacifica Film
54997.0,WR Universal Group
462.0,Patalex IV Productions Limited
433.0,Weed Road Pictures
675.0,Forward Pass
12485.0,Overbrook Entertainment
28064.0,Blue Light
41756.0,GH Three
80.0,The Zanuck Company
45778.0,Plan B Entertainment
55512.0,Theobald Film Productions
19231.0,Patalex III Productions Limited
436.0,1492 Pictures
2575.0,21 Laps Entertainment
10224.0,Museum Canada Productions
9076.0,Seed Productions
172.0,NPV Entertainment
1885.0,Silver Pictures
375.0,Heineken Branded Entertainment
2537.0,Kennedy Miller Productions
5561.0,Panorama Films
8253.0,Skylark Productions
3639.0,Whamaphram Productions
3528.0,Thunder Road Pictures
24175.0,Cott Productions
24176.0,"Furia de Titanes II, A.I.E."
9228.0,Dan Curtis Productions
21777.0,TC Productions
69485.0,Odin
520.0,Pacific Data Images (PDI)
1903.0,Columbus 81 Productions
2348.0,Nickelodeon Movies
8805.0,Industrial Light & Magic (ILM)
12236.0,Blinding Edge Pictures
44.0,Cruise/Wagner Productions
658.0,MI 3 Film
14714.0,China Film Group Corporation (CFGC)
22102.0,The Fourth Production Company Film Group
34981.0,Iron Horse Entertainment (II)
34982.0,Mythology Entertainment (II)
297.0,Aardman Animations
27711.0,Berlanti Productions
73951.0,Classic Media Productions
73952.0,Bullwinkle Studios
81.0,Plan B Entertainment
7636.0,Nimar Studios
19107.0,Helena Productions
4607.0,"Montecito Picture Company, The"
34034.0,LStar Capital
61791.0,Feigco Entertainment
84041.0,Pascal Pictures
84042.0,Ghostcorps
11533.0,Valhalla Motion Pictures
441.0,Columbia Pictures Corporation
49325.0,Parkes+MacDonald Image Nation
2265.0,Shangri-La Entertainment
24955.0,Paramount Animation
76266.0,Oriental DreamWorks
76714.0,JC 23 Entertainment
14718.0,Radar Pictures
20634.0,"Bedford Falls Company, The"
52184.0,Volcano Films
23419.0,MavroCine Pictures GmbH & Co. KG
491.0,Summit Entertainment
908.0,Mystery Clock Cinema
72441.0,TIK Films
88715.0,Pyramania
11317.0,Phoenix Pictures
19523.0,AFG Talons Productions
840.0,Lawrence Gordon Productions
5739.0,Donner/Shuler-Donner Productions
10565.0,Good Machine
19719.0,Saints LA
2233.0,Bristol Bay Productions
2234.0,Baldwin Entertainment Group
2235.0,Desertlands Entertainment
2767.0,Mace Neufeld Productions
4169.0,Kanzaman
12124.0,J.K. Livin Productions
12125.0,Moguletta
12126.0,Sahara Productions
19481.0,Babelsberg Film
4164.0,Square USA
20033.0,Chris Lee Productions
9118.0,Samuel Goldwyn Films
53009.0,Miramax
5219.0,Sunswept Entertainment
12292.0,Temple Hill Entertainment
28381.0,Dr D Studios
28382.0,Kennedy Miller Mitchell
25121.0,MVL Incredible Productions
7294.0,Reliance Entertainment
508.0,Regency Enterprises
562.0,Appian Way
8870.0,CatchPlay
10039.0,Anonymous Content
10104.0,New Regency Pictures
13796.0,Hong Kong Alpha Motion Pictures Co.
28732.0,RatPac Entertainment
52660.0,M Productions
77845.0,Monarchy Enterprises S.a.r.l.
10262.0,Blind Wink
862.0,The Kennedy/Marshall Company
11347.0,Ludlum Entertainment
11348.0,Motion Picture BETA Produktionsgesellschaft
11349.0,Bourne Again
10288.0,Don Simpson/Jerry Bruckheimer Films
7.0,DreamWorks
11845.0,Wintergreen Productions
7503.0,Protozoa Pictures
10256.0,Disruption Entertainment
437.0,Heyday films
7888.0,ScreenWest
10217.0,Walt Disney Feature Animation
19927.0,Government of Malta
9383.0,Blue Sky Studios
11749.0,Twentieth Century Fox Animation
79026.0,XM2 Productions
79027.0,XF2 Canada Productions
1225.0,One Race Productions
2723.0,Lin Pictures
23202.0,Wigram Productions
559.0,TriStar Pictures
14723.0,Carolco Pictures
80461.0,Carolco International N.V.
25716.0,Captivate Entertainment
1382.0,PolyGram Filmed Entertainment
35.0,Lions Gate Films
11362.0,Mark Gordon Productions
54502.0,Mel's Cite du Cinema
51199.0,Munich Film Partners & Company (MFP) MI2 Productions
16061.0,Baltimore Spring Creek Productions
5755.0,Constantin Film Produktion
10881.0,Bernd Eichinger Productions
13480.0,Haishang Films
11370.0,Michael De Luca Productions
20241.0,Crystal Sky Pictures
20475.0,GH One
20476.0,Vengeance Productions Pty. Ltd.
29313.0,Pearl Street Films
31922.0,Double Negative
83871.0,Perfect World (Beijing) Pictures Co.
10239.0,Tall Trees Productions
19813.0,Flower Films (II)
19747.0,Brandywine Productions
5752.0,Sony Pictures Entertainment
2531.0,Media Rights Capital
7431.0,Sony Pictures Entertainment (SPE)
11029.0,QED International
18209.0,Alpha Core
28788.0,Genre Films
31076.0,Simon Kinberg Productions
655.0,Strike Entertainment
12170.0,Velocity Productions
18.0,Gracie Films
2648.0,Road Rebel
84.0,Tree Line Films
21845.0,Pink Machine
19647.0,Monolith Pictures (III)
19648.0,Radical Studios
47.0,Constantin Film
356.0,TF1 Films Productions
1992.0,La Petite Reine
1994.0,Tri Pictures
1995.0,Sorolla Films
1996.0,Novo RPI
5358.0,Canal+
8676.0,uFilm
9335.0,Canal+ España
11921.0,Le Tax Shelter du Gouvernement Fédéral de Belgique
20409.0,Les Editions Albert René
2812.0,Lion Rock Productions
10338.0,Perfect World Pictures
7470.0,Esperanto Filmoj
1280.0,Pacific Western
47354.0,5150 Action
77208.0,Gama Entertainment Partners
5374.0,Marv Films
9078.0,Constantin Film.
34081.0,Flynn Picture Company
762.0,Mutual Film Company
9269.0,Global Entertainment Productions GmbH & Company Medien KG
129.0,Section Eight
12202.0,WV Films III
1171.0,Epsilon Motion Pictures
10227.0,Mandeville Films
24097.0,NeoReel
14.0,Miramax Films
691.0,Cappa Productions
7380.0,Initial Entertainment Group (IEG)
6733.0,Reliance BIG Entertainment
2994.0,Hollywood Gang Productions
2995.0,Atmosphere Entertainment MM
2251.0,Sony Pictures Animation
7311.0,Kerner Entertainment Company
12087.0,Angry Films
76069.0,Wardour Street Pictures
35304.0,Blue Tulip Productions
3200.0,Chartoff Productions
3263.0,Odd Lot Entertainment
7296.0,K/O Paper Products
31825.0,Digital Domain
31826.0,Taleswapper
890.0,Cheyenne Enterprises
5237.0,The Saul Zaentz Company
53413.0,80 Days Productions
53414.0,Spanknyce Films
53416.0,Fitzwilliam Productions
415.0,Laurence Mark Productions
19354.0,Mediastream Vierte Film GmbH & Co. Vermarktungs KG
19355.0,Canlaws Productions
19477.0,Dune Films
19478.0,BK
19479.0,KOH
19480.0,Reino del Cielo
19482.0,Inside Track 3
19483.0,Calle Cruzada
5555.0,Global Medien KG
58331.0,Franklin/Waterman Productions
6408.0,International Traders
21904.0,Mill Film
21905.0,C & L
21906.0,Dawliz
766.0,Blue Tulip Productions
26265.0,Ronald Shusett/Gary Goldman
76068.0,Digital Image Associates
61409.0,T2 Productions
11391.0,Tribeca Productions
11581.0,Misher Films
8083.0,Film Rites
1423.0,Escape Artists
2242.0,Everyman Pictures
7852.0,Dreamworks Pictures
4740.0,Gary Sanchez Productions
824.0,Kopelson Entertainment
308.0,The Weinstein Company
925.0,Nu Image Films
10254.0,Millennium Films
5289.0,Wild Things Productions
682.0,Peninsula Films
694.0,StudioCanal
3045.0,Sony Pictures Releasing
14577.0,Sony Pictures Worldwide Acquisitions (SPWA)
21212.0,Italian Tax Credit
23731.0,Birnbaum/Barber
23732.0,Cineroma SRL
23733.0,French Tax Credit
919.0,Beacon Communications
348.0,Bedford Falls Productions
430.0,Lonely Film Productions GmbH & Co. KG.
705.0,Spring Creek Productions
20938.0,Liberty Pictures
14654.0,EMJAG Productions
19177.0,Red Granite Pictures
23243.0,Sikelia Productions
31080.0,Polygram Filmed Entertainment
23434.0,Big Bug Pictures
1972.0,X-Filme Creative Pool
7829.0,Ascension Pictures
10947.0,ARD Degeto Film
11080.0,Cloud Atlas Productions
11082.0,Five Drops
11083.0,Media Asia Group
19621.0,Dreams of Dragon Picture
8089.0,Animal Logic
813.0,DiNovi Pictures
52945.0,Frantic Films
52946.0,Maple Shade Films
52947.0,Catwoman Films
748.0,Mosaic Media Group
11916.0,Sid & Marty Krofft Pictures
342.0,Davis-Films
7571.0,LionsGate
28384.0,Ex3 Productions
40822.0,Fipex Holding
1088.0,Alcon Entertainment
10289.0,DMG Entertainment
70993.0,Ehman Productions
3012.0,Pathé Distribution
17888.0,K. JAM Media
34401.0,Surf Film
63571.0,"Enelmar Productions, A.I.E."
97.0,Castle Rock Entertainment
10163.0,Working Title Films
16280.0,Jean Doumanian Productions
21716.0,Sweetland Films
65514.0,Magnolia Films
65515.0,Jasmine Productions Inc.
20242.0,Imhotep Productions
7381.0,Alberto Grimaldi Productions
724.0,Beijing New Picture Film Co. Ltd.
12205.0,EDKO Film
49512.0,New Picture Company
7293.0,DreamWorks Pictures
497.0,Revolution Studios
36431.0,Location Gourmet
9.0,Gaumont
3268.0,Home Box Office (HBO)
7429.0,HBO Films
47706.0,Allison Shearmur Productions
2300.0,Key Creatives
9349.0,Film4
11843.0,Goldcrest Pictures
12248.0,New Zealand Large Budget Screen Production Grant
13444.0,Outlaw Sinema
40112.0,Pendle Mountain Productions
657.0,Toho-Towa
3324.0,British Broadcasting Corporation (BBC)
4650.0,Marubeni
19105.0,Eidos Interactive
13403.0,Straight Up Films
34396.0,Giant Pictures
34397.0,Origo Film Group
183.0,Le Studio Canal+
28431.0,TCF Vancouver Productions
1838.0,Firm Films
19776.0,Prospect Park
19777.0,Millbrook Farm Productions
12178.0,Red Hour Films
5552.0,Media Asia Films
12379.0,Internationale Filmproduktion Stella-del-Sud Second
258.0,Scott Rudin Productions
33817.0,Yellow Bird
47479.0,Ground Control
1504.0,Cinergi Pictures Entertainment
19855.0,Internationale Filmproduktion Blackbird Dritte
19857.0,Sean Daniel Company
23920.0,LightWorkers Media
10930.0,Bagdasarian Productions
60.0,United Artists
6100.0,Achte Babelsberg Film
2608.0,Happy Madison Productions
385.0,Stanley Kubrick Productions
3538.0,Gunn Films
47122.0,Doom Buggy Productions
43910.0,South Side Amusement Company
932.0,Mirage Enterprises
20194.0,Motion Picture JOTA Produktions
14362.0,October Pictures
